state,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,NumChild,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975
Florida,364,364,364,364,364,364,364,364,364,364,3,364,364,364,364,364,364,364,364,364,364,346,346,346,324,312,298,284,273,273,249,230,230,230,196,191,170,170
Georgia,500,500,500,500,500,500,500,500,500,500,3,500,500,500,500,500,500,500,500,500,500,500,500,448,444,310,302,264,245,238,229,216,193,170,148,141,148,227
Guam,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,417,776,417,417,210,210,210,210,210,210,210,210,210,210,210,306,306,306,300,0,0
Hawaii,687,687,687,687,687,687,687,687,687,687,3,687,859,859,859,859,859,859,859,859,835,802,760,725,670,574,546,546,546,546,546,546,546,546,546,533,514,497
Idaho,469,469,469,469,469,469,469,469,469,469,3,459,459,459,452,382,382,382,382,382,357,485,357,344,344,344,344,344,344,345,345,345,367,367,367,344,344,344
Illinois,435,435,435,435,435,435,435,435,435,435,3,414,414,414,414,414,414,414,414,414,414,414,414,386,386,386,368,368,368,368,368,368,350,333,333,317,317,317
Indiana,346,346,346,346,346,346,346,346,346,346,3,385,385,346,346,346,346,346,346,346,346,346,346,346,346,327,327,327,327,327,327,327,327,327,327,327,327,318
Iowa,495,495,495,495,495,495,495,495,495,495,3,495,495,495,495,495,495,495,495,495,495,495,495,476,458,443,443,419,419,419,419,419,419,419,395,369,356,356
Kansas,497,497,497,497,497,497,497,497,497,497,3,497,497,497,497,497,497,497,497,497,471,462,444,468,468,444,436,420,396,385,385,374,390,375,364,364,364,353
Kentucky,592,592,592,592,592,592,592,592,592,592,3,592,592,592,592,592,592,592,592,592,592,592,592,592,272,246,246,246,246,235,235,235,235,235,235,235,235,235
Louisiana,284,284,284,284,284,284,284,284,284,284,3,284,284,234,234,234,234,234,234,234,234,277,277,277,234,232,234,234,232,231,257,257,187,187,172,164,158,158
Maine,780,780,780,780,780,780,780,780,780,780,3,750,750,750,722,695,695,695,695,695,695,819,819,794,702,702,674,674,623,593,564,378,352,332,314,297,278,349
Maryland,570,570,570,570,570,570,570,570,570,570,3,530,503,481,468,450,450,450,450,441,454,489,489,477,454,432,415,395,376,355,355,326,326,294,267,254,242,242
Massachusetts,731,731,731,731,731,731,731,731,731,731,3,731,731,651,651,668,668,668,668,668,668,668,668,668,668,635,556,515,490,466,466,444,444,396,396,385,385,304
Michigan,563,563,563,563,563,563,563,563,563,563,3,563,563,563,563,563,563,563,563,563,563,676,702,702,693,662,536,512,441,441,441,508,501,470,449,420,403,399
Minnesota,981,981,981,981,981,981,981,981,981,981,3,1056,1027,1021,993,621,621,621,621,621,621,717,621,621,621,621,621,616,611,583,520,520,486,454,424,404,385,385
Mississippi,443,443,443,443,443,443,443,443,443,443,3,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,327,327,327,252,252,252,252,252,252,277,277
Missouri,342,342,342,342,342,342,342,342,342,342,3,342,342,342,342,342,342,342,342,342,342,333,333,333,330,330,326,320,308,305,305,290,290,270,256,237,365,370
Montana,611,611,611,611,611,611,611,611,611,611,3,596,575,564,542,651,651,651,636,616,599,468,445,433,433,433,425,425,425,425,425,356,331,331,331,284,252,227
Nebraska,680,680,680,680,680,680,680,680,680,680,3,643,620,620,620,435,435,435,435,435,435,435,435,435,435,420,420,420,420,420,420,420,370,370,370,330,330,328
Nevada,407,407,407,407,407,407,407,407,407,407,3,407,407,407,408,408,408,408,408,408,435,390,390,390,390,384,341,341,279,272,323,288,314,297,276,263,249,230
New Hampshire,688,688,688,688,688,688,688,688,688,688,3,663,663,613,613,613,613,613,613,613,575,575,575,563,541,541,451,442,429,410,392,392,392,392,346,346,346,346
New Jersey,488,488,488,488,488,488,488,488,488,488,3,488,488,488,488,507,507,507,507,507,507,488,488,488,488,488,465,465,443,414,414,414,414,386,374,356,356,356
New Mexico,469,469,469,469,469,469,469,469,469,469,3,519,519,569,569,469,469,469,458,431,389,389,373,317,317,313,313,313,313,281,281,281,267,242,239,239,239,239
New York,687,687,687,687,687,687,687,687,687,687,3,687,687,687,687,687,687,687,687,687,687,687,687,687,597,596.7,596.7,566.7,566,514,514,514,476,476,476,430,422,400
North Carolina,594,594,594,594,594,594,594,594,594,594,3,594,594,594,594,594,594,594,594,594,594,594,594,582,566,283,269,269,221,221,221,210,210,210,200,200,200,200
North Dakota,573,573,573,573,573,573,573,573,573,573,3,890,890,890,550,517,517,517,517,501,491,491,491,472,454,454,454,454,454,437,437,408,408,389,370,370,370,347
Ohio,461,461,461,461,461,461,461,461,461,461,3,461,461,447,447,421,421,421,421,421,413,413,413,397,382,382,374,360,343,327,327,327,327,327,291,267,254,254
Oklahoma,361,361,361,361,361,361,361,361,361,361,3,361,361,361,361,380,380,380,402,402,402,423,403,403,403,384,384,361,349,349,349,349,349,349,309,289,284,264
Oregon,565,565,565,565,565,565,565,565,565,565,3,565,565,565,565,565,565,565,565,565,565,541,541,511,511,501,482,482,446,433,409,409,569,525,403,440,433,413
Pennsylvania,497,497,497,497,497,497,497,497,497,497,3,497,497,497,497,497,497,497,497,497,497,497,514,514,474,451,451,429,429,401,401,381,395,373,373,373,373,349
Puerto Rico,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,204,104,204,204,104,104,104,104,104,104,104,104,104,104,119,126,126,126,126,132,132
Rhode Island,634,634,634,634,634,634,634,634,634,634,3,634,634,634,634,632,632,632,632,632,632,632,632,620,590,546,503,467,440,421,420,420,389,389,359,359,359,319
South Carolina,735,735,735,735,735,735,735,735,735,735,3,695,695,668,668,631,631,529,529,529,529,529,529,504,485,467,458,444,229,229,229,162,229,229,229,217,217,217
South Dakota,533,533,533,533,533,533,533,533,533,533,3,478,478,478,478,563,563,563,563,563,530,450,429,421,408,408,408,371,371,361,361,361,361,361,340,333,333,329
Tennessee,896,896,896,896,896,896,896,896,896,896,3,857,878,826,807,697,697,635,572,519,519,519,502,472,445,431,189,186,168,154,154,148,148,148,148,139,217,217
Texas,250,250,250,250,250,250,250,250,250,250,3,241,241,226,226,226,226,226,226,221,221,221,221,221,221,221,221,221,201,178,140,140,140,140,140,140,140,140
Utah,555,555,555,555,555,555,555,555,555,555,3,555,528,665,665,665,665,665,665,484,627,627,627,603,586,809,809,809,802,772,455,438,429,389,374,352,333,306
